Phi [deg],SUM,DIFF,DIFF-SUM
-90,-55.2,-50.6,-4.600000000000001
-88,-53.8,-50.0,-3.799999999999997
-86,-52.4,-51.2,-1.1999999999999957
-84,-52.0,-51.4,-0.6000000000000014
-82,-50.8,-52.4,1.6000000000000014
-80,-49.8,-51.4,1.6000000000000014
-78,-49.4,-52.8,3.3999999999999986
-76,-50.0,-51.4,1.3999999999999986
-74,-50.8,-51.2,0.4000000000000057
-72,-51.8,-51.6,-0.19999999999999574
-70,-52.6,-50.6,-2.0
-68,-54.4,-50.4,-4.0
-66,-56.2,-47.2,-9.0
-64,-58.6,-46.4,-12.200000000000003
-62,-59.2,-46.4,-12.800000000000004
-60,-57.6,-45.8,-11.800000000000004
-58,-54.4,-44.6,-9.799999999999997
-56,-55.4,-44.0,-11.399999999999999
-54,-50.8,-43.4,-7.399999999999999
-52,-51.0,-43.4,-7.600000000000001
-50,-49.8,-43.4,-6.399999999999999
-48,-49.6,-44.2,-5.399999999999999
-46,-52.8,-46.0,-6.799999999999997
-44,-53.8,-45.6,-8.199999999999996
-42,-52.2,-46.2,-6.0
-40,-51.0,-47.4,-3.6000000000000014
-38,-51.0,-48.8,-2.200000000000003
-36,-51.0,-51.6,0.6000000000000014
-34,-51.2,-53.8,2.5999999999999943
-32,-51.4,-55.6,4.200000000000003
-30,-52.8,-53.4,0.6000000000000014
-28,-54.4,-49.6,-4.799999999999997
-26,-58.6,-47.0,-11.600000000000001
-24,-61.4,-45.2,-16.199999999999996
-22,-65.2,-45.2,-20.0
-20,-63.4,-43.0,-20.4
-18,-60.6,-42.8,-17.800000000000004
-16,-57.2,-42.2,-15.0
-14,-54.6,-42.0,-12.600000000000001
-12,-52.6,-42.2,-10.399999999999999
-10,-51.4,-42.8,-8.600000000000001
-8,-50.6,-43.8,-6.800000000000004
-6,-50.6,-45.6,-5.0
-4,-50.8,-48.8,-2.0
-2,-51.6,-52.4,0.7999999999999972
0,-52.2,-57.8,5.599999999999994
2,-54.2,-56.2,2.0
4,-55.0,-50.8,-4.200000000000003
6,-57.6,-46.6,-11.0
8,-59.8,-44.6,-15.199999999999996
10,-64.8,-42.2,-22.599999999999994
12,-63.4,-41.2,-22.199999999999996
14,-59.6,-41.4,-18.200000000000003
16,-59.0,-42.0,-17.0
18,-53.8,-41.8,-12.0
20,-51.8,-41.2,-10.599999999999994
22,-50.4,-42.4,-8.0
24,-49.4,-44.0,-5.399999999999999
26,-49.4,-46.6,-2.799999999999997
28,-49.6,-51.2,1.6000000000000014
30,-50.0,-64.2,14.200000000000003
32,-52.4,-57.6,5.200000000000003
34,-56.6,-47.4,-9.200000000000003
36,-59.4,-44.0,-15.399999999999999
38,-68.4,-41.6,-26.800000000000004
40,-69.8,-42.6,-27.199999999999996
42,-62.6,-41.0,-21.6
44,-57.2,-42.2,-15.0
46,-58.4,-42.2,-16.199999999999996
48,-57.8,-41.0,-16.799999999999997
50,-59.4,-43.8,-15.600000000000001
52,-61.2,-47.4,-13.800000000000004
54,-58.8,-51.4,-7.399999999999999
56,-54.6,-50.2,-4.399999999999999
58,-50.4,-46.0,-4.399999999999999
60,-47.4,-47.4,0.0
62,-46.8,-43.2,-3.5999999999999943
64,-45.6,-42.2,-3.3999999999999986
66,-46.6,-41.4,-5.200000000000003
68,-47.6,-43.0,-4.600000000000001
70,-49.0,-44.2,-4.799999999999997
72,-49.8,-47.0,-2.799999999999997
74,-52.2,-45.6,-6.600000000000001
76,-59.8,-43.4,-16.4
78,-60.6,-45.0,-15.600000000000001
80,-57.4,-41.0,-16.4
82,-53.4,-39.4,-14.0
84,-51.0,-39.0,-12.0
86,-49.4,-39.2,-10.199999999999996
88,-49.6,-40.4,-9.200000000000003
90,-49.2,-41.6,-7.600000000000001
