Phi [deg],SUM,DIFF,DIFF-SUM
-90,-67.8,-81.8,14.0
-88,-71.0,-83.0,12.0
-86,-72.6,-79.8,7.200000000000003
-84,-68.2,-80.2,12.0
-82,-73.8,-82.2,8.400000000000006
-80,-71.4,-83.8,12.399999999999991
-78,-69.8,-81.4,11.600000000000009
-76,-70.6,-79.4,8.800000000000011
-74,-71.0,-82.2,11.200000000000003
-72,-67.8,-79.4,11.600000000000009
-70,-67.4,-81.8,14.399999999999991
-68,-71.4,-82.2,10.799999999999997
-66,-77.8,-76.6,-1.2000000000000028
-64,-70.6,-77.8,7.200000000000003
-62,-75.0,-74.2,-0.7999999999999972
-60,-73.8,-75.4,1.6000000000000085
-58,-77.8,-81.8,4.0
-56,-76.6,-78.6,2.0
-54,-73.4,-77.8,4.3999999999999915
-52,-72.6,-79.4,6.800000000000011
-50,-76.2,-75.0,-1.2000000000000028
-48,-74.6,-73.0,-1.5999999999999943
-46,-75.0,-77.0,2.0
-44,-79.8,-76.2,-3.5999999999999943
-42,-71.8,-78.6,6.799999999999997
-40,-74.2,-81.0,6.799999999999997
-38,-77.4,-77.8,0.3999999999999915
-36,-75.4,-79.4,4.0
-34,-75.0,-81.0,6.0
-32,-71.0,-78.6,7.599999999999994
-30,-72.2,-77.0,4.799999999999997
-28,-70.6,-83.4,12.800000000000011
-26,-71.4,-73.0,1.5999999999999943
-24,-72.6,-70.6,-2.0
-22,-69.0,-78.2,9.200000000000003
-20,-69.8,-76.2,6.400000000000006
-18,-75.8,-79.0,3.200000000000003
-16,-71.0,-77.4,6.400000000000006
-14,-74.2,-78.2,4.0
-12,-75.0,-75.4,0.4000000000000057
-10,-72.6,-71.8,-0.7999999999999972
-8,-72.2,-78.2,6.0
-6,-72.2,-79.0,6.799999999999997
-4,-74.2,-77.4,3.200000000000003
-2,-77.0,-77.8,0.7999999999999972
0,-79.0,-70.2,-8.799999999999997
2,-77.4,-73.4,-4.0
4,-79.0,-78.2,-0.7999999999999972
6,-79.8,-77.0,-2.799999999999997
8,-80.6,-69.8,-10.799999999999997
10,-75.8,-72.2,-3.5999999999999943
12,-82.2,-75.4,-6.799999999999997
14,-75.4,-72.6,-2.8000000000000114
16,-79.8,-70.6,-9.200000000000003
18,-80.2,-77.0,-3.200000000000003
20,-80.6,-79.8,-0.7999999999999972
22,-71.8,-73.8,2.0
24,-75.4,-69.4,-6.0
26,-77.8,-75.0,-2.799999999999997
28,-71.0,-74.6,3.5999999999999943
30,-70.2,-77.8,7.599999999999994
32,-71.4,-77.8,6.3999999999999915
34,-70.6,-77.8,7.200000000000003
36,-73.4,-77.8,4.3999999999999915
38,-71.8,-75.4,3.6000000000000085
40,-71.4,-80.6,9.199999999999989
42,-69.8,-82.2,12.400000000000006
44,-66.2,-79.8,13.599999999999994
46,-72.2,-83.0,10.799999999999997
48,-68.6,-89.0,20.400000000000006
50,-69.4,-82.2,12.799999999999997
52,-68.2,-79.0,10.799999999999997
54,-68.2,-81.0,12.799999999999997
56,-69.0,-78.6,9.599999999999994
58,-74.2,-77.8,3.5999999999999943
60,-67.8,-76.6,8.799999999999997
62,-68.2,-81.8,13.599999999999994
64,-68.6,-74.6,6.0
66,-69.0,-76.2,7.200000000000003
68,-71.0,-73.0,2.0
70,-70.2,-74.6,4.3999999999999915
72,-67.8,-75.0,7.200000000000003
74,-73.0,-77.8,4.799999999999997
76,-71.0,-79.8,8.799999999999997
78,-72.2,-75.0,2.799999999999997
80,-73.8,-73.0,-0.7999999999999972
82,-73.0,-74.2,1.2000000000000028
84,-77.4,-75.0,-2.4000000000000057
86,-74.6,-76.2,1.6000000000000085
88,-74.2,-74.2,0.0
90,-75.8,-73.8,-2.0
