Phi [deg],SUM,DIFF,DIFF-SUM
0,-65.2,-47.2,-18.0
2.0,-60.8,-46.4,-14.399999999999999
4.0,-57.4,-44.6,-12.799999999999997
6.0,-54.6,-43.2,-11.399999999999999
8.0,-52.0,-42.8,-9.200000000000003
10.0,-50.4,-41.2,-9.199999999999996
12.0,-49.0,-41.8,-7.200000000000003
14.0,-49.6,-42.8,-6.800000000000004
16.0,-49.0,-43.0,-6.0
18.0,-49.0,-44.8,-4.200000000000003
20.0,-49.8,-45.0,-4.799999999999997
22.0,-51.0,-46.0,-5.0
24.0,-53.0,-48.8,-4.200000000000003
26.0,-55.8,-50.6,-5.199999999999996
28.0,-58.6,-51.6,-7.0
30.0,-61.6,-53.4,-8.200000000000003
32.0,-62.4,-52.8,-9.600000000000001
34.0,-60.2,-48.4,-11.800000000000004
36.0,-58.0,-47.0,-11.0
38.0,-56.2,-47.0,-9.200000000000003
40.0,-53.4,-46.2,-7.199999999999996
42.0,-51.8,-46.8,-5.0
44.0,-49.6,-47.0,-2.6000000000000014
46.0,-49.2,-47.6,-1.6000000000000014
48.0,-47.4,-49.0,1.6000000000000014
50.0,-46.8,-51.0,4.200000000000003
52.0,-45.2,-54.6,9.399999999999999
54.0,-46.4,-57.8,11.399999999999999
56.0,-45.8,-60.6,14.800000000000004
58.0,-44.6,-64.6,19.999999999999993
60.0,-45.4,-66.0,20.6
62.0,-45.8,-64.0,18.200000000000003
64.0,-46.4,-60.4,14.0
66.0,-45.6,-58.6,13.0
68.0,-45.2,-57.4,12.199999999999996
70.0,-46.6,-55.8,9.199999999999996
72.0,-46.8,-61.0,14.200000000000003
74.0,-47.0,-53.4,6.399999999999999
76.0,-47.2,-53.2,6.0
78.0,-47.4,-52.6,5.200000000000003
80.0,-47.2,-51.8,4.599999999999994
82.0,-47.6,-52.2,4.600000000000001
84.0,-47.2,-52.0,4.799999999999997
86.0,-47.0,-51.0,4.0
88.0,-47.4,-51.0,3.6000000000000014
90.0,-47.8,-50.8,3.0
92.0,-49.0,-50.6,1.6000000000000014
94.0,-49.0,-50.6,1.6000000000000014
96.0,-48.8,-50.6,1.8000000000000043
98.0,-49.4,-49.8,0.3999999999999986
100.0,-50.0,-51.0,1.0
102.0,-50.4,-49.4,-1.0
104.0,-50.8,-48.2,-2.5999999999999943
106.0,-51.6,-47.2,-4.399999999999999
108.0,-52.6,-47.0,-5.600000000000001
110.0,-54.2,-46.6,-7.600000000000001
112.0,-55.0,-49.2,-5.799999999999997
114.0,-56.0,-46.6,-9.399999999999999
116.0,-55.2,-46.8,-8.400000000000006
118.0,-56.2,-46.2,-10.0
120.0,-55.2,-46.6,-8.600000000000001
122.0,-53.4,-46.0,-7.399999999999999
124.0,-52.6,-45.2,-7.399999999999999
126.0,-51.2,-45.0,-6.200000000000003
128.0,-51.0,-43.6,-7.399999999999999
130.0,-50.4,-43.4,-7.0
132.0,-49.6,-43.0,-6.600000000000001
134.0,-49.8,-42.6,-7.199999999999996
136.0,-48.6,-41.8,-6.800000000000004
138.0,-48.6,-41.2,-7.399999999999999
140.0,-47.8,-41.0,-6.799999999999997
142.0,-47.2,-41.0,-6.200000000000003
144.0,-47.8,-41.0,-6.799999999999997
146.0,-47.6,-41.6,-6.0
148.0,-47.0,-42.4,-4.600000000000001
150.0,-47.2,-43.2,-4.0
152.0,-47.0,-43.6,-3.3999999999999986
154.0,-47.2,-43.6,-3.6000000000000014
156.0,-47.6,-45.6,-2.0
158.0,-47.4,-45.6,-1.7999999999999972
160.0,-47.8,-47.2,-0.5999999999999943
162.0,-49.0,-48.0,-1.0
164.0,-49.0,-47.8,-1.2000000000000028
166.0,-49.2,-48.6,-0.6000000000000014
168.0,-49.2,-49.8,0.5999999999999943
170.0,-49.8,-49.2,-0.5999999999999943
172.0,-50.4,-50.2,-0.19999999999999574
174.0,-51.0,-51.2,0.20000000000000284
176.0,-51.0,-52.0,1.0
178.0,-51.4,-52.8,1.3999999999999986
180.0,-52.6,-52.8,0.19999999999999574
