Phi [deg],SUM,DIFF,DIFF-SUM
-90,-75.0,-84.4,9.400000000000006
-99,-75.0,-87.0,12.0
-108,-75.0,-89.4,14.400000000000006
-117,-78.6,-88.0,9.400000000000006
-126,-83.0,-87.2,4.200000000000003
-135,-83.0,-87.6,4.599999999999994
-144,-81.0,-89.0,8.0
-153,-81.0,-89.0,8.0
-162,-81.0,-89.0,8.0
-171,-81.0,-89.0,8.0
-180,-81.0,-85.4,4.400000000000006
-189,-82.0,-84.2,2.200000000000003
-198,-81.8,-82.6,0.7999999999999972
-207,-81.0,-81.6,0.5999999999999943
-216,-81.0,-85.0,4.0
-225,-83.0,-85.0,2.0
-234,-79.4,-85.0,5.599999999999994
-243,-77.0,-83.0,6.0
-252,-79.0,-83.0,4.0
-261,-75.0,-83.0,8.0
-270,-76.6,-82.8,6.200000000000003
