Phi [deg],SUM,DIFF,DIFF-SUM
-90,-64.8,-65.0,0.20000000000000284
-88,-68.4,-62.6,-5.800000000000004
-86,-69.2,-73.2,4.0
-84,-70.8,-70.8,0.0
-82,-73.2,-70.4,-2.799999999999997
-80,-71.4,-69.0,-2.4000000000000057
-78,-74.8,-69.0,-5.799999999999997
-76,-76.2,-71.0,-5.200000000000003
-74,-71.0,-71.4,0.4000000000000057
-72,-65.2,-85.0,19.799999999999997
-70,-65.8,-67.0,1.2000000000000028
-68,-64.8,-66.4,1.6000000000000085
-66,-62.0,-65.6,3.5999999999999943
-64,-63.2,-69.4,6.200000000000003
-62,-61.6,-68.2,6.600000000000001
-60,-62.6,-63.0,0.3999999999999986
-58,-57.0,-63.0,6.0
-56,-64.4,-63.0,-1.4000000000000057
-54,-59.2,-63.0,3.799999999999997
-52,-60.2,-71.2,11.0
-50,-56.2,-73.8,17.599999999999994
-48,-62.4,-73.4,11.000000000000007
-46,-61.4,-65.2,3.8000000000000043
-44,-57.4,-66.0,8.600000000000001
-42,-58.8,-63.0,4.200000000000003
-40,-58.4,-66.0,7.600000000000001
-38,-57.8,-70.8,13.0
-36,-70.8,-65.6,-5.200000000000003
-34,-64.0,-85.0,21.0
-32,-62.0,-93.0,31.0
-30,-58.0,-87.0,29.0
-28,-59.4,-78.4,19.000000000000007
-26,-58.2,-83.0,24.799999999999997
-24,-59.0,-83.0,24.0
-22,-58.0,-77.8,19.799999999999997
-20,-58.6,-69.0,10.399999999999999
-18,-57.2,-69.0,11.799999999999997
-16,-60.4,-69.0,8.600000000000001
-14,-58.0,-69.0,11.0
-12,-58.4,-62.6,4.200000000000003
-10,-68.0,-61.4,-6.600000000000001
-8,-62.8,-59.0,-3.799999999999997
-6,-57.6,-62.2,4.600000000000001
-4,-62.6,-61.4,-1.2000000000000028
-2,-64.6,-59.8,-4.799999999999997
0,-59.4,-63.8,4.399999999999999
2,-64.6,-64.0,-0.5999999999999943
4,-64.8,-63.6,-1.1999999999999957
6,-70.2,-68.6,-1.6000000000000085
8,-62.6,-62.2,-0.3999999999999986
10,-62.8,-64.2,1.4000000000000057
12,-65.8,-68.6,2.799999999999997
14,-65.4,-67.6,2.1999999999999886
16,-68.2,-68.0,-0.20000000000000284
18,-63.8,-67.0,3.200000000000003
20,-60.0,-62.0,2.0
22,-61.2,-59.6,-1.6000000000000014
24,-60.2,-64.2,4.0
26,-64.0,-61.6,-2.3999999999999986
28,-64.6,-56.6,-7.999999999999993
30,-63.4,-62.4,-1.0
32,-60.8,-59.4,-1.3999999999999986
34,-63.0,-59.6,-3.3999999999999986
36,-61.8,-59.2,-2.5999999999999943
38,-60.8,-60.4,-0.3999999999999986
40,-60.8,-57.6,-3.1999999999999957
42,-62.6,-59.8,-2.8000000000000043
44,-64.4,-63.4,-1.000000000000007
46,-63.2,-61.0,-2.200000000000003
48,-70.4,-66.6,-3.8000000000000114
50,-68.0,-72.6,4.599999999999994
52,-69.2,-72.4,3.200000000000003
54,-67.6,-73.2,5.6000000000000085
56,-72.4,-72.2,-0.20000000000000284
58,-64.4,-63.2,-1.2000000000000028
60,-64.6,-69.2,4.6000000000000085
62,-56.6,-71.0,14.399999999999999
64,-57.0,-69.0,12.0
66,-63.6,-64.4,0.8000000000000043
68,-62.4,-55.0,-7.399999999999999
70,-58.8,-61.6,2.8000000000000043
72,-59.6,-57.8,-1.8000000000000043
74,-57.4,-55.0,-2.3999999999999986
76,-59.4,-57.4,-2.0
78,-61.0,-56.6,-4.399999999999999
80,-57.6,-66.6,8.999999999999993
82,-57.6,-58.0,0.3999999999999986
84,-62.2,-61.0,-1.2000000000000028
86,-59.6,-62.8,3.1999999999999957
88,-57.6,-62.8,5.199999999999996
90,-59.0,-67.8,8.799999999999997
