Phi [deg],SUM,DIFF,DIFF-SUM
-90,-65.0,-55.6,-9.399999999999999
-88,-67.6,-55.0,-12.599999999999994
-86,-66.0,-55.4,-10.600000000000001
-84,-61.4,-55.4,-6.0
-82,-61.6,-56.2,-5.399999999999999
-80,-60.6,-55.4,-5.200000000000003
-78,-58.0,-55.0,-3.0
-76,-55.4,-55.0,-0.3999999999999986
-74,-55.4,-55.0,-0.3999999999999986
-72,-54.2,-55.4,1.1999999999999957
-70,-53.0,-55.8,2.799999999999997
-68,-51.6,-55.6,4.0
-66,-51.2,-56.0,4.799999999999997
-64,-54.8,-56.2,1.4000000000000057
-62,-51.2,-56.4,5.199999999999996
-60,-51.0,-55.2,4.200000000000003
-58,-51.6,-56.8,5.199999999999996
-56,-51.4,-55.4,4.0
-54,-53.4,-55.0,1.6000000000000014
-52,-54.8,-54.6,-0.19999999999999574
-50,-56.0,-54.0,-2.0
-48,-57.6,-53.8,-3.8000000000000043
-46,-60.8,-53.2,-7.599999999999994
-44,-62.2,-53.6,-8.600000000000001
-42,-64.0,-55.8,-8.200000000000003
-40,-64.0,-54.8,-9.200000000000003
-38,-61.4,-55.0,-6.399999999999999
-36,-60.2,-55.8,-4.400000000000006
-34,-58.8,-55.8,-3.0
-32,-56.6,-56.2,-0.3999999999999986
-30,-57.0,-58.0,1.0
-28,-55.8,-60.4,4.600000000000001
-26,-54.6,-59.2,4.600000000000001
-24,-51.2,-57.8,6.599999999999994
-22,-51.8,-58.0,6.200000000000003
-20,-51.6,-57.8,6.199999999999996
-18,-50.8,-56.6,5.800000000000004
-16,-51.4,-56.0,4.600000000000001
-14,-49.8,-54.6,4.800000000000004
-12,-49.8,-55.2,5.400000000000006
-10,-51.8,-53.2,1.4000000000000057
-8,-48.8,-55.6,6.800000000000004
-6,-47.6,-58.6,11.0
-4,-47.8,-53.6,5.800000000000004
-2,-48.0,-53.6,5.600000000000001
0,-47.8,-56.4,8.600000000000001
2,-48.0,-55.0,7.0
4,-49.0,-54.2,5.200000000000003
6,-49.8,-53.2,3.4000000000000057
8,-49.0,-52.6,3.6000000000000014
10,-50.0,-51.0,1.0
12,-50.2,-50.0,-0.20000000000000284
14,-52.6,-49.0,-3.6000000000000014
16,-51.0,-48.8,-2.200000000000003
18,-51.8,-47.6,-4.199999999999996
20,-51.0,-47.0,-4.0
22,-52.2,-47.8,-4.400000000000006
24,-51.2,-46.6,-4.600000000000001
26,-52.0,-47.0,-5.0
28,-50.0,-47.0,-3.0
30,-49.6,-47.4,-2.200000000000003
32,-49.8,-47.4,-2.3999999999999986
34,-49.0,-49.0,0.0
36,-50.0,-49.4,-0.6000000000000014
38,-49.4,-50.8,1.3999999999999986
40,-50.0,-50.8,0.7999999999999972
42,-51.0,-52.6,1.6000000000000014
44,-51.0,-54.8,3.799999999999997
46,-51.6,-56.8,5.199999999999996
48,-51.0,-57.8,6.799999999999997
50,-51.0,-58.4,7.399999999999999
52,-51.4,-57.8,6.399999999999999
54,-50.8,-58.8,8.0
56,-51.0,-58.2,7.200000000000003
58,-52.0,-56.8,4.799999999999997
60,-53.0,-55.2,2.200000000000003
62,-54.0,-54.0,0.0
64,-56.0,-53.4,-2.6000000000000014
66,-56.6,-53.4,-3.200000000000003
68,-58.0,-53.6,-4.399999999999999
70,-58.6,-55.4,-3.200000000000003
72,-60.0,-56.8,-3.200000000000003
74,-62.8,-56.4,-6.399999999999999
76,-65.2,-56.8,-8.400000000000006
78,-62.0,-56.2,-5.799999999999997
80,-60.4,-56.6,-3.799999999999997
82,-58.8,-57.4,-1.3999999999999986
84,-59.0,-57.4,-1.6000000000000014
86,-54.8,-58.0,3.200000000000003
88,-56.0,-60.8,4.799999999999997
90,-55.6,-61.4,5.799999999999997
