Phi [deg],SUM,DIFF,SUM-DIFF
-90,-67.3,-62.2,-5.099999999999994
-88,-66.4,-63.1,-3.3000000000000043
-86,-66.2,-64.3,-1.9000000000000057
-84,-65.8,-64.1,-1.7000000000000028
-82,-64.9,-65.3,0.3999999999999915
-80,-65.0,-65.7,0.7000000000000028
-78,-65.3,-66.4,1.1000000000000085
-76,-64.9,-67.3,2.3999999999999915
-74,-64.3,-67.8,3.5
-72,-64.3,-66.9,2.6000000000000085
-70,-65.9,-67.2,1.2999999999999972
-68,-64.7,-66.1,1.3999999999999915
-66,-65.3,-66.4,1.1000000000000085
-64,-65.1,-65.4,0.30000000000001137
-62,-67.0,-65.4,-1.5999999999999943
-60,-66.4,-64.8,-1.6000000000000085
-58,-67.5,-64.8,-2.700000000000003
-56,-67.9,-67.0,-0.9000000000000057
-54,-69.0,-64.5,-4.5
-52,-70.7,-64.1,-6.6000000000000085
-50,-70.1,-63.1,-6.999999999999993
-48,-72.0,-64.4,-7.599999999999994
-46,-71.5,-64.0,-7.5
-44,-72.5,-64.4,-8.099999999999994
-42,-73.6,-67.1,-6.5
-40,-72.4,-64.1,-8.300000000000011
-38,-73.6,-65.2,-8.399999999999991
-36,-72.6,-64.6,-8.0
-34,-73.1,-64.4,-8.699999999999989
-32,-73.2,-64.7,-8.5
-30,-72.9,-65.0,-7.900000000000006
-28,-70.9,-63.8,-7.1000000000000085
-26,-72.6,-64.9,-7.699999999999989
-24,-71.8,-65.1,-6.700000000000003
-22,-72.4,-64.9,-7.5
-20,-70.1,-65.3,-4.799999999999997
-18,-72.3,-65.9,-6.3999999999999915
-16,-71.1,-66.4,-4.699999999999989
-14,-70.5,-66.6,-3.9000000000000057
-12,-69.3,-66.7,-2.5999999999999943
-10,-70.3,-67.4,-2.8999999999999915
-8,-69.7,-68.1,-1.6000000000000085
-6,-69.4,-66.8,-2.6000000000000085
-4,-68.3,-66.8,-1.5
-2,-70.7,-66.7,-4.0
0,-70.1,-67.2,-2.8999999999999915
2,-70.3,-66.9,-3.3999999999999915
4,-69.9,-67.2,-2.700000000000003
6,-70.2,-66.2,-4.0
8,-71.5,-66.2,-5.299999999999997
10,-69.6,-64.5,-5.099999999999994
12,-69.9,-65.8,-4.1000000000000085
14,-70.9,-64.4,-6.5
16,-71.4,-65.0,-6.400000000000006
18,-73.4,-62.6,-10.800000000000004
20,-70.6,-63.4,-7.199999999999996
22,-69.7,-64.1,-5.6000000000000085
24,-71.6,-62.8,-8.799999999999997
26,-72.6,-62.7,-9.899999999999991
28,-70.3,-62.6,-7.699999999999996
30,-72.8,-63.5,-9.299999999999997
32,-74.0,-62.7,-11.299999999999997
34,-74.6,-63.1,-11.499999999999993
36,-74.5,-63.4,-11.100000000000001
38,-73.6,-63.0,-10.599999999999994
40,-74.1,-63.3,-10.799999999999997
42,-71.7,-63.5,-8.200000000000003
44,-69.9,-64.7,-5.200000000000003
46,-70.3,-63.7,-6.599999999999994
48,-69.8,-64.5,-5.299999999999997
50,-68.0,-63.9,-4.100000000000001
52,-67.7,-65.7,-2.0
54,-67.1,-65.8,-1.2999999999999972
56,-66.9,-65.6,-1.3000000000000114
58,-66.4,-66.0,-0.4000000000000057
60,-66.3,-65.1,-1.2000000000000028
62,-66.3,-65.0,-1.2999999999999972
64,-65.7,-65.4,-0.29999999999999716
66,-65.2,-65.3,0.09999999999999432
68,-65.5,-66.2,0.7000000000000028
70,-65.3,-65.8,0.5
72,-65.0,-66.4,1.4000000000000057
74,-65.2,-65.2,0.0
76,-64.8,-65.6,0.7999999999999972
78,-64.1,-66.1,2.0
80,-65.4,-65.6,0.19999999999998863
82,-65.7,-65.9,0.20000000000000284
84,-65.6,-64.5,-1.0999999999999943
86,-65.7,-65.1,-0.6000000000000085
88,-66.1,-64.1,-2.0
90,-65.8,-65.9,0.10000000000000853
