Phi [deg],SUM,DIFF,SUM-DIFF
-90,-65.9,-62.1,-3.8000000000000043
-88,-65.6,-62.5,-3.0999999999999943
-86,-64.6,-63.2,-1.3999999999999915
-84,-64.0,-63.4,-0.6000000000000014
-82,-67.6,-64.3,-3.299999999999997
-80,-65.4,-66.1,0.6999999999999886
-78,-63.6,-65.4,1.8000000000000043
-76,-63.1,-65.9,2.8000000000000043
-74,-63.6,-66.2,2.6000000000000014
-72,-64.7,-65.8,1.0999999999999943
-70,-63.2,-66.0,2.799999999999997
-68,-63.6,-66.1,2.499999999999993
-66,-64.0,-66.0,2.0
-64,-64.9,-66.2,1.2999999999999972
-62,-64.6,-65.3,0.7000000000000028
-60,-64.7,-65.4,0.7000000000000028
-58,-66.8,-65.2,-1.5999999999999943
-56,-68.0,-66.2,-1.7999999999999972
-54,-66.5,-64.3,-2.200000000000003
-52,-68.5,-64.3,-4.200000000000003
-50,-69.7,-64.5,-5.200000000000003
-48,-72.0,-64.8,-7.200000000000003
-46,-71.6,-64.5,-7.099999999999994
-44,-69.7,-64.6,-5.1000000000000085
-42,-71.4,-65.0,-6.400000000000006
-40,-71.7,-65.3,-6.400000000000006
-38,-72.0,-66.2,-5.799999999999997
-36,-73.5,-65.0,-8.5
-34,-74.3,-65.7,-8.599999999999994
-32,-73.6,-65.4,-8.199999999999989
-30,-73.4,-65.6,-7.800000000000011
-28,-71.2,-65.6,-5.6000000000000085
-26,-72.2,-65.2,-7.0
-24,-70.5,-65.7,-4.799999999999997
-22,-72.4,-66.5,-5.900000000000006
-20,-70.6,-66.1,-4.5
-18,-71.3,-67.4,-3.8999999999999915
-16,-68.9,-67.3,-1.6000000000000085
-14,-70.7,-67.2,-3.5
-12,-69.7,-66.6,-3.1000000000000085
-10,-69.5,-66.5,-3.0
-8,-70.0,-68.8,-1.2000000000000028
-6,-71.1,-66.7,-4.3999999999999915
-4,-69.9,-66.7,-3.200000000000003
-2,-69.5,-66.7,-2.799999999999997
0,-71.0,-66.2,-4.799999999999997
2,-69.9,-66.5,-3.4000000000000057
4,-71.3,-66.5,-4.799999999999997
6,-70.9,-65.7,-5.200000000000003
8,-71.8,-65.9,-5.8999999999999915
10,-72.0,-64.6,-7.400000000000006
12,-70.5,-64.3,-6.200000000000003
14,-69.8,-62.9,-6.899999999999999
16,-70.3,-62.7,-7.599999999999994
18,-70.5,-64.2,-6.299999999999997
20,-70.2,-62.9,-7.300000000000004
22,-70.5,-62.1,-8.399999999999999
24,-70.8,-61.9,-8.899999999999999
26,-71.1,-61.2,-9.899999999999991
28,-72.0,-61.6,-10.399999999999999
30,-72.6,-61.8,-10.799999999999997
32,-73.4,-62.7,-10.700000000000003
34,-74.5,-62.8,-11.700000000000003
36,-75.5,-62.8,-12.700000000000003
38,-75.1,-63.2,-11.899999999999991
40,-74.2,-62.6,-11.600000000000001
42,-73.7,-63.1,-10.600000000000001
44,-72.9,-63.3,-9.600000000000009
46,-70.8,-64.0,-6.799999999999997
48,-70.3,-63.1,-7.199999999999996
50,-69.6,-63.5,-6.099999999999994
52,-68.8,-63.7,-5.099999999999994
54,-69.3,-64.2,-5.099999999999994
56,-68.1,-63.7,-4.3999999999999915
58,-67.1,-64.8,-2.299999999999997
60,-66.2,-64.5,-1.7000000000000028
62,-66.5,-64.8,-1.7000000000000028
64,-66.8,-64.4,-2.3999999999999915
66,-66.6,-65.3,-1.2999999999999972
68,-65.4,-65.2,-0.20000000000000284
70,-65.5,-65.3,-0.20000000000000284
72,-65.6,-65.5,-0.09999999999999432
74,-64.5,-64.4,-0.09999999999999432
76,-65.6,-65.6,0.0
78,-66.3,-65.6,-0.7000000000000028
80,-66.4,-64.9,-1.5
82,-67.2,-65.7,-1.5
84,-66.8,-65.8,-1.0
86,-66.8,-66.0,-0.7999999999999972
88,-66.4,-65.0,-1.4000000000000057
90,-66.8,-66.4,-0.3999999999999915
