Phi [deg],SUM,DIFF,SUM-DIFF
-90,-63.2,-65.6,2.3999999999999915
-88,-62.3,-65.4,3.1000000000000085
-86,-64.3,-65.2,0.9000000000000057
-84,-62.8,-65.5,2.700000000000003
-82,-63.8,-65.5,1.7000000000000028
-80,-62.7,-64.6,1.8999999999999915
-78,-62.0,-65.1,3.0999999999999943
-76,-62.8,-64.8,2.0
-74,-62.6,-64.9,2.3000000000000043
-72,-62.8,-64.1,1.2999999999999972
-70,-62.5,-65.6,3.0999999999999943
-68,-62.9,-63.3,0.3999999999999986
-66,-64.2,-64.2,0.0
-64,-64.5,-64.3,-0.20000000000000284
-62,-63.9,-62.8,-1.1000000000000014
-60,-66.0,-63.5,-2.5
-58,-65.0,-61.7,-3.299999999999997
-56,-65.0,-61.8,-3.200000000000003
-54,-65.1,-63.1,-1.999999999999993
-52,-63.5,-61.3,-2.200000000000003
-50,-63.7,-62.0,-1.7000000000000028
-48,-63.1,-60.2,-2.8999999999999986
-46,-64.8,-60.9,-3.8999999999999986
-44,-62.8,-61.1,-1.6999999999999957
-42,-62.8,-59.7,-3.0999999999999943
-40,-63.0,-59.5,-3.5
-38,-66.0,-58.2,-7.799999999999997
-36,-65.0,-58.4,-6.600000000000001
-34,-65.9,-58.3,-7.6000000000000085
-32,-65.1,-58.0,-7.099999999999994
-30,-65.1,-58.9,-6.199999999999996
-28,-66.4,-58.7,-7.700000000000003
-26,-66.9,-58.7,-8.200000000000003
-24,-66.9,-58.5,-8.400000000000006
-22,-67.1,-58.9,-8.199999999999996
-20,-67.9,-58.8,-9.100000000000009
-18,-68.6,-58.9,-9.699999999999996
-16,-69.5,-59.1,-10.399999999999999
-14,-69.7,-59.9,-9.800000000000004
-12,-71.4,-63.2,-8.200000000000003
-10,-73.6,-60.0,-13.599999999999994
-8,-74.7,-59.9,-14.800000000000004
-6,-74.7,-60.3,-14.400000000000006
-4,-73.9,-60.5,-13.400000000000006
-2,-71.8,-60.3,-11.5
0,-71.6,-59.7,-11.899999999999991
2,-67.4,-59.8,-7.6000000000000085
4,-69.2,-60.2,-9.0
6,-68.3,-60.5,-7.799999999999997
8,-67.8,-59.6,-8.199999999999996
10,-66.9,-59.2,-7.700000000000003
12,-67.0,-59.9,-7.100000000000001
14,-66.0,-59.6,-6.399999999999999
16,-66.6,-60.1,-6.499999999999993
18,-67.0,-59.3,-7.700000000000003
20,-66.4,-60.1,-6.300000000000004
22,-66.8,-60.7,-6.099999999999994
24,-68.7,-62.5,-6.200000000000003
26,-66.1,-61.1,-4.999999999999993
28,-66.0,-60.7,-5.299999999999997
30,-65.3,-61.5,-3.799999999999997
32,-64.8,-61.5,-3.299999999999997
34,-66.6,-62.6,-3.999999999999993
36,-65.2,-60.8,-4.400000000000006
38,-65.2,-63.5,-1.7000000000000028
40,-64.5,-61.8,-2.700000000000003
42,-64.5,-63.0,-1.5
44,-64.7,-62.7,-2.0
46,-64.5,-64.0,-0.5
48,-63.6,-64.8,1.1999999999999957
50,-65.9,-63.6,-2.3000000000000043
52,-63.2,-64.7,1.5
54,-63.9,-65.9,2.000000000000007
56,-63.1,-65.1,1.999999999999993
58,-62.4,-66.0,3.6000000000000014
60,-63.1,-66.5,3.3999999999999986
62,-63.6,-70.3,6.699999999999996
64,-62.9,-66.8,3.8999999999999986
66,-62.2,-66.8,4.599999999999994
68,-62.4,-67.4,5.000000000000007
70,-62.1,-66.9,4.800000000000004
72,-62.4,-67.5,5.100000000000001
74,-62.2,-67.6,5.3999999999999915
76,-62.9,-68.2,5.300000000000004
78,-63.8,-66.6,2.799999999999997
80,-63.2,-67.2,4.0
82,-64.4,-66.8,2.3999999999999915
84,-63.6,-68.3,4.699999999999996
86,-64.8,-67.9,3.1000000000000085
88,-63.8,-69.0,5.200000000000003
90,-64.6,-68.0,3.4000000000000057
