Phi [deg],SUM,DIFF,SUM-DIFF
-90,-62.2,-64.7,2.5
-88,-63.2,-64.5,1.2999999999999972
-86,-61.9,-64.9,3.000000000000007
-84,-62.1,-64.9,2.8000000000000043
-82,-62.8,-66.8,4.0
-80,-63.5,-66.3,2.799999999999997
-78,-65.3,-66.0,0.7000000000000028
-76,-62.5,-65.2,2.700000000000003
-74,-64.0,-65.3,1.2999999999999972
-72,-63.7,-65.1,1.3999999999999915
-70,-63.1,-64.9,1.8000000000000043
-68,-64.1,-64.7,0.6000000000000085
-66,-63.2,-64.3,1.0999999999999943
-64,-64.2,-63.5,-0.7000000000000028
-62,-63.5,-62.7,-0.7999999999999972
-60,-64.1,-63.3,-0.7999999999999972
-58,-64.2,-62.4,-1.8000000000000043
-56,-65.3,-62.3,-3.0
-54,-64.2,-61.2,-3.0
-52,-66.2,-60.7,-5.5
-50,-64.9,-62.5,-2.4000000000000057
-48,-65.5,-61.8,-3.700000000000003
-46,-65.7,-61.0,-4.700000000000003
-44,-65.1,-61.1,-3.999999999999993
-42,-65.4,-58.8,-6.6000000000000085
-40,-64.3,-58.6,-5.699999999999996
-38,-64.9,-59.8,-5.1000000000000085
-36,-64.5,-58.4,-6.100000000000001
-34,-64.7,-58.5,-6.200000000000003
-32,-64.9,-58.2,-6.700000000000003
-30,-65.3,-58.3,-7.0
-28,-64.9,-58.3,-6.6000000000000085
-26,-65.7,-58.3,-7.400000000000006
-24,-66.0,-59.1,-6.899999999999999
-22,-66.7,-59.1,-7.600000000000001
-20,-66.9,-58.7,-8.200000000000003
-18,-66.9,-58.9,-8.000000000000007
-16,-68.5,-60.1,-8.399999999999999
-14,-69.9,-59.2,-10.700000000000003
-12,-71.2,-59.1,-12.100000000000001
-10,-71.1,-59.8,-11.299999999999997
-8,-73.2,-60.8,-12.400000000000006
-6,-74.8,-59.8,-15.0
-4,-74.4,-60.7,-13.700000000000003
-2,-72.0,-59.0,-13.0
0,-72.2,-59.6,-12.600000000000001
2,-71.7,-59.3,-12.400000000000006
4,-71.1,-59.9,-11.199999999999996
6,-69.0,-58.7,-10.299999999999997
8,-67.7,-59.3,-8.400000000000006
10,-67.4,-59.4,-8.000000000000007
12,-68.2,-59.0,-9.200000000000003
14,-66.5,-59.0,-7.5
16,-67.2,-59.7,-7.5
18,-65.9,-59.9,-6.000000000000007
20,-66.3,-61.1,-5.199999999999996
22,-65.7,-59.6,-6.100000000000001
24,-66.2,-60.3,-5.900000000000006
26,-66.0,-61.3,-4.700000000000003
28,-66.3,-60.7,-5.599999999999994
30,-65.9,-61.7,-4.200000000000003
32,-65.0,-60.7,-4.299999999999997
34,-66.8,-62.8,-4.0
36,-64.6,-61.6,-2.999999999999993
38,-65.1,-62.2,-2.8999999999999915
40,-65.8,-64.9,-0.8999999999999915
42,-66.6,-63.4,-3.1999999999999957
44,-66.3,-63.8,-2.5
46,-66.0,-64.6,-1.4000000000000057
48,-64.9,-63.4,-1.500000000000007
50,-63.9,-64.4,0.5000000000000071
52,-63.2,-65.7,2.5
54,-64.6,-64.9,0.30000000000001137
56,-63.4,-65.3,1.8999999999999986
58,-62.9,-66.1,3.1999999999999957
60,-63.1,-67.9,4.800000000000004
62,-66.3,-67.3,1.0
64,-63.1,-67.7,4.600000000000001
66,-62.7,-66.7,4.0
68,-62.0,-68.1,6.099999999999994
70,-64.2,-68.1,3.8999999999999915
72,-62.1,-67.7,5.600000000000001
74,-65.6,-67.4,1.8000000000000114
76,-63.3,-66.5,3.200000000000003
78,-63.6,-65.8,2.1999999999999957
80,-63.9,-65.7,1.8000000000000043
82,-63.8,-67.8,4.0
84,-65.0,-67.3,2.299999999999997
86,-64.1,-67.5,3.4000000000000057
88,-64.5,-68.3,3.799999999999997
90,-66.3,-68.4,2.1000000000000085
