Phi [deg],data
-90,-2,2,4,6,2,6,2,0,2,4,6,2,2,2,2,2,4,2,2,0
-88,2,2,0,-2,0,2,2,4,-6,-6,0,4,4,2,4,2,0,4,2,6
-86,4,6,4,4,4,2,0,2,2,4,6,6,-2,2,6,2,2,2,2,2
-84,2,2,4,2,2,4,4,4,4,2,4,4,6,2,2,2,2,6,-8,6
-82,2,2,2,2,4,4,2,2,4,4,2,2,2,6,2,4,24,2,4,4
-80,4,2,4,20,4,2,-2,-2,0,6,2,2,2,2,2,0,2,4,4,-2
-78,-4,2,2,4,4,2,2,-24,2,4,2,4,4,4,4,4,-4,-4,2,4
-76,2,2,4,0,2,4,4,4,2,4,4,4,0,2,2,4,2,4,2,2
-74,2,2,2,2,2,2,2,2,-4,2,-4,-6,-4,4,2,4,6,4,4,2
-72,2,4,-2,0,0,4,2,-6,2,2,-4,2,2,4,4,4,6,4,-2,0
-70,2,2,0,2,2,2,2,0,0,2,2,2,4,2,4,2,2,6,-2,0
-68,0,-2,2,-2,4,0,2,2,2,2,4,2,-2,2,2,-6,0,2,2,-4
-66,0,-2,0,0,4,0,0,2,2,0,0,2,0,2,0,4,4,2,0,2
-64,0,2,-10,-2,-2,2,-2,-2,2,-2,0,2,0,0,-2,-2,-2,2,2,0
-62,-2,-4,-2,2,-2,0,0,0,2,0,0,0,-4,2,0,0,0,-2,-2,-4
-60,-12,4,-2,-2,0,0,0,-2,0,4,0,-2,-2,0,2,0,-4,0,-2,2
-58,2,-2,0,-4,-2,0,-2,-2,0,-2,-2,-2,-4,-4,-4,-4,-4,4,-2,-2
-56,-8,-4,-8,-2,-4,-4,-2,-2,-4,-4,-4,-2,4,-2,-4,-4,-2,-2,-4,2
-54,-2,-2,-4,-2,-2,-2,-4,-2,-4,-4,0,-4,-4,-4,-4,-2,-4,-2,-4,-4
-52,-6,-4,-4,-4,-4,-6,-6,-8,-6,-6,-2,-6,-6,-8,4,-6,-4,-2,-4,-22
-50,18,-6,16,-6,-4,-4,-4,-12,-4,2,-2,-4,-4,-6,-4,-6,-6,-4,-4,-4
-48,-8,-6,-8,-6,18,-4,-6,-4,-6,-6,-4,-6,2,-4,4,-4,-6,-8,-6,-6
-46,-8,-4,-6,-8,-8,-8,-6,-4,-4,-6,-4,-6,4,0,-4,-6,-6,-4,0,-6
-44,20,-6,-4,-6,-6,-4,-6,-6,-8,-8,-4,-6,-6,-6,-2,0,-4,-4,-8,-6
-42,-6,-8,-6,-2,-6,-6,-10,-8,-4,-6,-6,-12,-8,-8,-4,-6,-6,-6,-6,-8
-40,-6,-4,-6,-8,-8,-6,-6,-4,-6,-6,-4,-6,-6,6,-4,-8,-8,-8,-8,-8
-38,-6,-4,-8,-6,-6,-6,-8,-10,-4,-6,-6,-8,-6,-6,-8,-6,-6,-6,-6,20
-36,-6,-8,-8,-6,-4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8,-6,-6,-4
-34,0,-4,-6,-8,-4,-6,-6,-10,-10,-6,-6,-4,-8,-6,-6,-12,-4,-6,-6,-6
-32,-4,-6,-4,-6,-8,-6,-6,-8,-8,-6,-4,-6,-6,-4,-8,-8,-8,-10,-10,-8
-30,-6,-4,-4,-6,-4,-8,-6,-6,-6,-6,-8,-8,-8,-12,-10,-10,-6,-8,-8,-6
-28,-8,-6,-8,-8,-6,-6,-8,-6,-4,-6,-6,-6,-8,-8,-6,-10,-4,-6,-6,-6
-26,-6,-10,-8,-8,-4,-6,-6,-8,-6,-8,-10,-10,-8,-8,-8,-10,-6,-4,-6,-8
-24,-8,-6,-8,-4,-8,-8,-6,-6,-6,-6,-8,-10,-6,-4,-8,-8,-8,-6,-6,-8
-22,-8,-8,-10,-8,-8,-12,-6,-6,-6,-8,-8,-8,-10,-8,-8,0,-10,-8,-4,-8
-20,-10,-6,-8,-6,-10,-10,-4,-4,-8,-10,-8,-6,-14,-10,-10,-10,-8,-8,-6,-8
-18,-6,-12,-8,-8,-4,-6,-6,-10,-10,-14,-10,-10,-4,-8,-8,-10,-4,-8,-8,-6
-16,-12,-10,-10,-10,-10,-8,-10,-8,-12,-10,-10,-6,-10,-10,8,-10,-8,-6,-10,-6
-14,-10,-12,-10,-12,-10,-8,-8,-10,-14,-10,-10,-10,-14,-10,-10,-12,-12,-12,-6,-14
-12,-8,-10,-14,-12,-12,-12,-14,-14,-12,-12,-14,-12,-12,-12,-10,-12,-14,-14,-12,-10
-10,-10,-12,-14,-14,-14,-14,-12,-12,-14,-14,-14,-6,-14,-2,-12,-6,-14,-14,-6,-8
-8,-14,-8,-14,-12,-10,-18,12,-16,-16,-16,-18,-16,-12,-12,-12,-14,-14,-14,-12,-12
