Phi [deg],SUM,DIFF,DIFF-SUM
0,6.549821423,-22.0065951,-28.55641652
1,6.541551959,-19.56860038,-26.11015234
2,6.526440766,-16.90074236,-23.42718313
3,6.504492237,-14.64355565,-21.14804789
4,6.475712323,-12.78472672,-19.26043904
5,6.440108471,-11.23375718,-17.67386565
6,6.39768958,-9.916141158,-16.31383074
7,6.34846599,-8.778533408,-15.1269994
8,6.29244949,-7.78313957,-14.07558906
9,6.229653359,-6.902716589,-13.13236995
10,6.160092436,-6.117165043,-12.27725748
11,6.083783219,-5.411308143,-11.49509136
12,6.000743999,-4.773438563,-10.77418256
13,5.910995029,-4.194350387,-10.10534542
14,5.814558717,-3.666679993,-9.48123871
15,5.711459858,-3.184447309,-8.895907167
16,5.601725897,-2.742729797,-8.344455694
17,5.485387214,-2.337426248,-7.822813462
18,5.362477445,-1.965082594,-7.327560039
19,5.233033816,-1.622761373,-6.855795189
20,5.097097509,-1.30794246,-6.405039969
21,4.954714035,-1.018446539,-5.973160574
22,4.805933626,-0.752375397,-5.558309023
23,4.650811631,-0.508064784,-5.158876415
24,4.489408926,-0.284046819,-4.773455745
25,4.321792309,-0.079019702,-4.400812011
26,4.148034904,0.108176914,-4.03985799
27,3.968216552,0.27858211,-3.689634442
28,3.782424193,0.4331304,-3.349293793
29,3.590752228,0.572665639,-3.018086589
30,3.393302871,0.697952693,-2.695350178
31,3.190186479,0.809687305,-2.380499174
32,2.981521862,0.908504478,-2.073017384
33,2.767436575,0.994985654,-1.772450921
34,2.548067186,1.069664887,-1.478402299
35,2.323559531,1.133034188,-1.190525343
36,2.094068952,1.185548166,-0.908520786
37,1.859760515,1.227628087,-0.632132428
38,1.62080923,1.259665433,-0.361143797
39,1.377400252,1.282025041,-0.095375211
40,1.129729091,1.295047872,0.165318781
41,0.87800182,1.299053478,0.421051658
42,0.622435294,1.294342201,0.671906907
43,0.363257372,1.281197132,0.91793976
44,0.100707166,1.259885881,1.159178715
45,-0.164964703,1.23066217,1.395626873
46,-0.433495832,1.193767274,1.627263106
47,-0.704611737,1.149431338,1.854043075
48,-0.978025561,1.097874579,2.07590014
49,-1.253437767,1.039308386,2.292746153
50,-1.530535843,0.973936346,2.504472189
51,-1.808994034,0.901955191,
52,-2.088473124,0.823555681,
53,-2.368620274,0.738923439,
54,-2.649068983,0.648239729,
55,-2.929439165,0.551682201,
56,-3.20933742,0.449425598,
57,-3.488357511,0.341642422,
58,-3.766081118,0.228503582,
59,-4.042078897,0.110179009,
60,-4.315911909,-0.013161757,
61,-4.587133436,-0.141349,
62,-4.855291252,-0.274212286,
63,-5.119930342,-0.411579946,
64,-5.380596112,-0.553278583,
65,-5.63683806,-0.6991326,
66,-5.888213904,-0.848963764,
67,-6.134294107,-1.002590786,
68,-6.374666742,-1.159828944,
69,-6.608942578,-1.320489729,
70,-6.836760297,-1.484380543,
71,-7.057791682,-1.651304424,
72,-7.271746626,-1.821059838,
73,-7.478377796,-1.993440517,
74,-7.67748479,-2.168235372,
75,-7.868917625,-2.345228476,
76,-8.052579408,-2.524199148,
77,-8.228428082,-2.704922138,
78,-8.396477152,-2.887167929,
79,-8.556795347,-3.070703186,
80,-8.709505203,-3.255291364,
81,-8.854780607,-3.44069349,
82,-8.992843353,-3.626669152,
83,-9.123958825,-3.812977701,
84,-9.248430916,-3.999379696,
85,-9.366596335,-4.185638602,
86,-9.478818441,-4.37152275,
87,-9.585480761,-4.556807563,
88,-9.686980324,-4.741278055,
89,-9.783720962,-4.924731572,
90,-9.876106674,-5.106980765,
91,-9.96453517,-5.287856747,
92,-10.04939166,-5.467212397,
93,-10.13104296,-5.644925726,
94,-10.20983202,-5.820903243,
95,-10.28607276,-5.995083222,
96,-10.36004547,-6.167438772,
97,-10.4319926,-6.3379806,
98,-10.50211505,-6.50675936,
99,-10.57056907,-6.673867476,
100,-10.63746356,-6.839440332,
101,-10.7028581,-7.003656752,
102,-10.7667615,-7.166738678,
103,-10.82913103,-7.328949991,
104,-10.88987245,-7.490594452,
105,-10.94884062,-7.652012727,
106,-11.00584109,-7.813578518,
107,-11.06063241,-7.975693823,
108,-11.1129294,-8.138783363,
109,-11.16240728,-8.303288229,
110,-11.20870678,-8.469658818,
111,-11.25144003,-8.638347117,
112,-11.29019753,-8.809798395,
113,-11.32455572,-8.984442365,
114,-11.35408546,-9.162683864,
115,-11.37836101,-9.34489309,
116,-11.39696958,-9.531395431,
117,-11.40952114,-9.722460908,
118,-11.41565838,-9.918293269,
119,-11.41506654,-10.11901876,
120,-11.40748294,-10.32467461,
121,-11.39270599,-10.53519736,
122,-11.37060322,-10.75041106,
123,-11.34111844,-10.97001558,
124,-11.30427738,-11.19357534,
125,-11.26019194,-11.42050861,
126,-11.20906262,-11.65007809,
127,-11.15117908,-11.88138319,
128,-11.08691878,-12.11335482,
129,-11.01674354,-12.34475355,
130,-10.94119425,-12.57417216,
131,-10.86088369,-12.80004376,
132,-10.77648776,-13.02065638,
133,-10.68873535,-13.2341754,
134,-10.59839711,-13.43867441,
135,-10.50627357,-13.63217499,
136,-10.41318283,-13.81269535,
137,-10.31994828,-13.9783069,
138,-10.22738653,-14.12719681,
139,-10.13629596,-14.25773399,
140,-10.0474461,-14.36853479,
141,-9.961567834,-14.4585241,
142,-9.879344841,-14.52698748,
143,-9.80140607,-14.57361015,
144,-9.728319428,-14.59849943,
145,-9.660586607,-14.60218869,
146,-9.598639004,-14.5856224,
147,-9.542834677,-14.55012354,
148,-9.493456265,-14.49734621,
149,-9.450709766,-14.4292172,
150,-9.414724124,-14.34787099,
151,-9.385551521,-14.25558259,
152,-9.363168334,-14.15470206,
153,-9.347476677,-14.04759409,
154,-9.338306515,-13.93658461,
155,-9.335418294,-13.82391606,
156,-9.338506084,-13.71171141,
157,-9.347201221,-13.60194711,
