Phi [deg],SUM,DIFF,DIFF-SUM
0,20,10,10
6.0,20,10,10
12.0,20,10,10
18.0,20,10,10
24.0,20,10,10
30.0,20,10,10
36.0,20,10,10
42.0,20,10,10
48.0,20,10,10
54.0,20,10,10
60.0,20,10,10
66.0,20,10,10
72.0,20,10,10
78.0,20,10,10
84.0,20,10,10
90.0,20,10,10
96.0,20,10,10
102.0,20,10,10
108.0,20,10,10
114.0,20,10,10
120.0,20,10,10
126.0,20,10,10
132.0,20,10,10
138.0,20,10,10
144.0,20,10,10
150.0,20,10,10
156.0,20,10,10
162.0,20,10,10
168.0,20,10,10
174.0,20,10,10
180.0,20,10,10
